Id,Sphere diameter,Sphere distance,Delaunay mesh dimension,Delaunay point spacing
1,0.1,0.1,0.15,0.9
2,0.3,0.3,0.18,0.15
3,0.3,0.3,0.2,0.2
4,0.3,0.3,0.22,0.18
5,0.3,0.3,0.2,0.8
6,0.4,0.4,0.15,0.15
7,0.4,0.4,0.15,0.15
8,0.4,0.4,0.3,0.3
9,0.4,0.4,0.15,0.15
10,0.4,0.4,0.2,0.3
11,0.4,0.4,0.21,0.13
12,0.4,0.4,0.16,0.11
13,0.4,0.4,0.19,0.29
14,0.4,0.4,0.3,0.3
15,0.4,0.4,0.4,0.3
16,0.4,0.4,0.3,0.4
17,0.4,0.4,0.3,0.9
18,0.4,0.4,0.4,0.6
19,0.45,0.45,0.2,0.2
20,0.45,0.45,0.2,0.2
21,0.5,0.5,0.3,0.3
22,0.5,0.5,0.6,0.6
23,0.5,0.5,0.12,0.21
24,0.5,0.5,0.2,0.4
25,0.5,0.5,0.3,0.32
26,0.5,0.5,0.35,0.25
27,0.5,0.5,0.3,0.8
28,0.5,0.5,0.5,0.9
29,0.5,0.5,0.3,0.3
30,0.6,0.6,0.25,0.26
31,0.6,0.6,0.4,0.1
32,0.6,0.6,0.5,0.2
33,0.6,0.6,0.2,0.5
34,0.6,0.6,0.25,0.26
35,0.6,0.6,0.17,0.27
36,0.6,0.6,0.6,0.2
37,0.6,0.6,0.2,0.8
38,0.6,0.6,0.5,0.3
39,0.6,0.6,0.6,0.9
40,0.6,0.6,0.2,0.5
41,0.6,0.6,0.3,0.3
42,0.7,0.7,0.2,0.6
43,0.7,0.7,0.2,0.2
44,0.7,0.7,0.2,0.5
45,0.7,0.7,0.12,0.6
46,0.7,0.7,0.17,0.6
47,0.7,0.7,0.3,0.6
48,0.7,0.7,0.15,0.6
49,0.7,0.7,0.175,0.6
50,0.7,0.7,0.2,0.6
51,0.7,0.7,0.2,0.5
52,0.7,0.7,0.2,0.4
53,0.7,0.7,0.2,0.3
54,0.7,0.7,0.3,0.6
55,0.7,0.7,0.325,0.6
56,0.7,0.7,0.35,0.6
57,0.7,0.7,0.375,0.6
58,0.7,0.7,0.4,0.6
59,0.7,0.7,0.4,0.35
60,0.7,0.7,0.37,0.6
61,0.7,0.7,0.2,0.3
62,0.7,0.7,0.5,0.8
63,0.7,0.7,0.6,0.6
64,0.8,0.8,0.3,0.2
65,0.8,0.8,0.3,0.7
66,0.8,0.8,0.3,0.21
67,0.8,0.8,0.32,0.5
68,0.8,0.8,0.3,0.75
69,0.8,0.8,0.3,0.6
70,0.8,0.8,0.6,0.8
71,0.8,0.8,0.3,0.9
72,0.8,0.8,0.5,0.5
73,0.9,0.9,0.4,0.8
74,0.9,0.9,0.35,0.6
75,0.9,0.9,0.6,0.8
76,0.9,0.9,0.7,0.3
77,0.9,0.9,0.4,0.5
78,0.9,0.9,0.35,0.5
79,0.9,0.9,0.3,0.6
80,0.9,0.9,0.35,0.22
81,0.9,0.9,0.4,0.2
82,0.9,0.9,0.2,0.2
83,0.9,0.9,0.42,0.9
84,0.9,0.9,0.2,0.8
85,0.9,0.9,0.4,0.5
86,0.9,0.9,0.42,0.9
87,0.9,0.9,0.5,0.3
88,0.9,0.9,0.3,0.3
89,0.9,0.9,0.3,0.4
90,0.9,0.9,0.3,0.8
91,1,1,0.15,0.9
92,1,1,0.3,0.7
93,1,1,0.15,0.9
94,1,1,0.3,0.6
95,1,1,0.35,0.7
96,1,1,0.53,0.3
97,0.4,0.4,0.16,0.14
98,0.42,0.42,0.16,0.16
99,0.42,0.42,0.16,0.17
100,0.42,0.42,0.15,0.13
101,0.47,0.47,0.17,0.18
102,0.47,0.47,0.2,0.19
103,0.48,0.48,0.19,0.2
104,0.48,0.48,0.2,0.18
105,0.49,0.49,0.2,0.2
106,0.49,0.49,0.19,0.2
107,0.52,0.52,0.21,0.22
108,0.53,0.53,0.22,0.22
109,0.54,0.54,0.22,0.2
110,0.56,0.56,0.26,0.2
111,0.59,0.59,0.28,0.25
112,0.59,0.59,0.25,0.28
113,0.6,0.6,0.23,0.29
114,0.61,0.61,0.23,0.22
115,0.62,0.62,0.28,0.26
116,0.65,0.65,0.22,0.26
117,0.65,0.65,0.24,0.29
118,0.67,0.67,0.29,0.29
119,0.69,0.69,0.34,0.34
120,0.71,0.71,0.29,0.32
121,0.74,0.74,0.31,0.37
122,0.75,0.75,0.42,0.43
123,0.75,0.75,0.22,0.26
124,0.75,0.75,0.22,0.35
125,0.75,0.75,0.37,0.3
