id,Connectivity density
1,7.8
2,22.9
3,7.6
4,16.4
5,10.6
6,10.6
7,9.5
8,13.3
9,13.4
10,10.3
11,13.6
12,11.1
13,10.8
14,6.8
15,9.7
16,7.2
17,6.8
18,6.9
19,9
20,7.6
21,7.6
22,5.7
23,7.2
24,7.1
25,7.1
26,1.27
27,8.6
28,5
29,1.8
30,5
31,5.9
32,6.4
33,6.4
34,6.4
35,5.3
36,4.3
37,3.5
38,7.2
39,4.9
40,4.8
41,4.1
42,3.7
43,4.9
44,4.9
45,0.47
46,3.6
47,3.1
48,4.7
49,3.6
50,6
51,6.3
52,4.9
53,4.9
54,4.9
55,7.8
56,4.4
57,0.3
58,4.2
59,3.1
60,12.3
61,7.8
62,6.5
63,7.8
64,8.2
65,10.5
66,9.4
67,9.9
68,10.7
69,10.2
70,9.1
71,8.6
72,7.4
73,7.2
74,6.3
75,7
76,7.4
77,6.9
78,5.8
79,6.4
80,6.2
81,5.9
82,3.8
83,5.7
84,4.4
85,6
86,6
