Id,Sphere diameter,Sphere distance,Delaunay mesh dimension,Delaunay point spacing
1,0.1,0.1,0.15,0.9
2,0.3,0.3,0.18,0.15
3,0.3,0.3,0.2,0.2
4,0.3,0.3,0.2,0.8
5,0.4,0.4,0.15,0.15
6,0.4,0.4,0.15,0.15
7,0.4,0.4,0.15,0.15
8,0.4,0.4,0.2,0.3
9,0.4,0.4,0.21,0.13
10,0.4,0.4,0.16,0.11
11,0.4,0.4,0.19,0.29
12,0.45,0.45,0.2,0.2
13,0.45,0.45,0.2,0.2
14,0.5,0.5,0.12,0.21
15,0.5,0.5,0.2,0.4
16,0.6,0.6,0.25,0.26
17,0.6,0.6,0.2,0.5
18,0.6,0.6,0.25,0.26
19,0.6,0.6,0.17,0.27
20,0.6,0.6,0.2,0.8
21,0.6,0.6,0.2,0.5
22,0.6,0.6,0.3,0.3
23,0.7,0.7,0.2,0.6
24,0.7,0.7,0.2,0.2
25,0.7,0.7,0.2,0.5
26,0.7,0.7,0.12,0.6
27,0.7,0.7,0.17,0.6
28,0.7,0.7,0.3,0.6
29,0.7,0.7,0.15,0.6
30,0.7,0.7,0.175,0.6
31,0.7,0.7,0.2,0.6
32,0.7,0.7,0.2,0.5
33,0.7,0.7,0.2,0.4
34,0.7,0.7,0.2,0.3
35,0.7,0.7,0.3,0.6
36,0.7,0.7,0.325,0.6
37,0.7,0.7,0.35,0.6
38,0.7,0.7,0.2,0.3
39,0.8,0.8,0.3,0.2
40,0.8,0.8,0.3,0.21
41,0.8,0.8,0.32,0.5
42,0.8,0.8,0.3,0.75
43,0.8,0.8,0.3,0.6
44,0.8,0.8,0.3,0.9
45,0.9,0.9,0.4,0.8
46,0.9,0.9,0.35,0.6
47,0.9,0.9,0.4,0.5
48,0.9,0.9,0.35,0.5
49,0.9,0.9,0.3,0.6
50,0.9,0.9,0.35,0.22
51,0.9,0.9,0.2,0.2
52,0.9,0.9,0.42,0.9
53,0.9,0.9,0.2,0.8
54,0.9,0.9,0.3,0.3
55,0.9,0.9,0.3,0.4
56,0.9,0.9,0.3,0.8
57,1,1,0.15,0.9
58,1,1,0.3,0.7
59,1,1,0.15,0.9
60,1,1,0.3,0.6
61,1,1,0.35,0.7
62,0.4,0.4,0.16,0.14
63,0.42,0.42,0.16,0.16
64,0.42,0.42,0.16,0.17
65,0.42,0.42,0.15,0.13
66,0.47,0.47,0.17,0.18
67,0.47,0.47,0.2,0.19
68,0.48,0.48,0.19,0.2
69,0.48,0.48,0.2,0.18
70,0.49,0.49,0.2,0.2
71,0.49,0.49,0.19,0.2
72,0.52,0.52,0.21,0.22
73,0.53,0.53,0.22,0.22
74,0.54,0.54,0.22,0.2
75,0.56,0.56,0.26,0.2
76,0.59,0.59,0.28,0.25
77,0.59,0.59,0.25,0.28
78,0.6,0.6,0.23,0.29
79,0.61,0.61,0.23,0.22
80,0.62,0.62,0.28,0.26
81,0.65,0.65,0.22,0.26
82,0.65,0.65,0.24,0.29
83,0.67,0.67,0.29,0.29
84,0.69,0.69,0.34,0.34
85,0.71,0.71,0.29,0.32
86,0.74,0.74,0.31,0.37
87,0.75,0.75,0.22,0.26
88,0.75,0.75,0.22,0.35
