Id,Sphere diameter,Sphere distance,Delaunay mesh dimension,Delaunay point spacing
1,0.1,0.1,0.15,0.9
2,0.3,0.3,0.18,0.15
3,0.3,0.3,0.2,0.2
4,0.3,0.3,0.22,0.18
5,0.3,0.3,0.6,0.3
6,0.3,0.3,0.6,0.5
7,0.3,0.3,0.5,0.3
8,0.3,0.3,0.6,0.6
9,0.3,0.3,0.2,0.8
10,0.4,0.4,0.15,0.15
11,0.4,0.4,0.15,0.15
12,0.4,0.4,0.3,0.3
13,0.4,0.4,0.15,0.15
14,0.4,0.4,0.2,0.3
15,0.4,0.4,0.21,0.13
16,0.4,0.4,0.16,0.11
17,0.4,0.4,0.19,0.29
18,0.4,0.4,0.3,0.3
19,0.4,0.4,0.5,0.8
20,0.4,0.4,0.4,0.3
21,0.4,0.4,0.8,0.7
22,0.4,0.4,0.7,0.9
23,0.4,0.4,0.3,0.4
24,0.4,0.4,0.3,0.9
25,0.4,0.4,0.7,0.6
26,0.4,0.4,0.6,0.4
27,0.4,0.4,0.8,0.6
28,0.4,0.4,0.6,0.5
29,0.4,0.4,0.4,0.6
30,0.4,0.4,0.5,0.9
31,0.45,0.45,0.2,0.2
32,0.45,0.45,0.2,0.2
33,0.5,0.5,0.3,0.3
34,0.5,0.5,0.6,0.6
35,0.5,0.5,0.12,0.21
36,0.5,0.5,0.2,0.4
37,0.5,0.5,0.3,0.32
38,0.5,0.5,0.35,0.25
39,0.5,0.5,0.9,0.5
40,0.5,0.5,0.7,0.5
41,0.5,0.5,0.3,0.8
42,0.5,0.5,0.5,0.9
43,0.5,0.5,0.6,0.7
44,0.5,0.5,0.3,0.3
45,0.5,0.5,0.6,0.8
46,0.5,0.5,0.8,0.4
47,0.5,0.5,0.6,0.4
48,0.6,0.6,0.25,0.26
49,0.6,0.6,0.4,0.1
50,0.6,0.6,0.5,0.2
51,0.6,0.6,0.2,0.5
52,0.6,0.6,0.25,0.26
53,0.6,0.6,0.17,0.27
54,0.6,0.6,0.8,0.8
55,0.6,0.6,0.6,0.2
56,0.6,0.6,0.2,0.8
57,0.6,0.6,0.5,0.3
58,0.6,0.6,0.6,0.9
59,0.6,0.6,0.2,0.5
60,0.6,0.6,0.3,0.3
61,0.7,0.7,0.2,0.6
62,0.7,0.7,0.2,0.2
63,0.7,0.7,0.2,0.5
64,0.7,0.7,0.12,0.6
65,0.7,0.7,0.17,0.6
66,0.7,0.7,0.3,0.6
67,0.7,0.7,0.15,0.6
68,0.7,0.7,0.175,0.6
69,0.7,0.7,0.2,0.6
70,0.7,0.7,0.2,0.5
71,0.7,0.7,0.2,0.4
72,0.7,0.7,0.2,0.3
73,0.7,0.7,0.3,0.6
74,0.7,0.7,0.325,0.6
75,0.7,0.7,0.35,0.6
76,0.7,0.7,0.375,0.6
77,0.7,0.7,0.4,0.6
78,0.7,0.7,0.4,0.35
79,0.7,0.7,0.37,0.6
80,0.7,0.7,0.2,0.3
81,0.7,0.7,0.5,0.8
82,0.7,0.7,0.6,0.6
83,0.7,0.7,0.9,0.7
84,0.7,0.7,0.8,0.3
85,0.8,0.8,0.3,0.2
86,0.8,0.8,0.3,0.7
87,0.8,0.8,0.3,0.21
88,0.8,0.8,0.32,0.5
89,0.8,0.8,0.3,0.75
90,0.8,0.8,0.3,0.6
91,0.8,0.8,0.8,0.6
92,0.8,0.8,0.6,0.8
93,0.8,0.8,0.8,0.9
94,0.8,0.8,0.8,0.5
95,0.8,0.8,0.9,0.3
96,0.8,0.8,0.3,0.9
97,0.8,0.8,0.5,0.5
98,0.8,0.8,0.9,0.9
99,0.9,0.9,0.4,0.8
100,0.9,0.9,0.35,0.6
101,0.9,0.9,0.6,0.8
102,0.9,0.9,0.7,0.3
103,0.9,0.9,0.4,0.5
104,0.9,0.9,0.35,0.5
105,0.9,0.9,0.3,0.6
106,0.9,0.9,0.35,0.22
107,0.9,0.9,0.4,0.2
108,0.9,0.9,0.2,0.2
109,0.9,0.9,0.42,0.9
110,0.9,0.9,0.2,0.8
111,0.9,0.9,0.4,0.5
112,0.9,0.9,0.42,0.9
113,0.9,0.9,0.5,0.3
114,0.9,0.9,0.3,0.3
115,0.9,0.9,0.3,0.4
116,0.9,0.9,0.3,0.8
117,1,1,0.15,0.9
118,1,1,0.3,0.7
119,1,1,0.15,0.9
120,1,1,0.3,0.6
121,1,1,0.35,0.7
122,1,1,0.53,0.3
123,0.4,0.4,0.16,0.14
124,0.42,0.42,0.16,0.16
125,0.42,0.42,0.16,0.17
126,0.42,0.42,0.15,0.13
127,0.47,0.47,0.17,0.18
128,0.47,0.47,0.2,0.19
129,0.48,0.48,0.19,0.2
130,0.48,0.48,0.2,0.18
131,0.49,0.49,0.2,0.2
132,0.49,0.49,0.19,0.2
133,0.52,0.52,0.21,0.22
134,0.53,0.53,0.22,0.22
135,0.54,0.54,0.22,0.2
136,0.56,0.56,0.26,0.2
137,0.59,0.59,0.28,0.25
138,0.59,0.59,0.25,0.28
139,0.6,0.6,0.23,0.29
140,0.61,0.61,0.23,0.22
141,0.62,0.62,0.28,0.26
142,0.65,0.65,0.22,0.26
143,0.65,0.65,0.24,0.29
144,0.67,0.67,0.29,0.29
145,0.69,0.69,0.34,0.34
146,0.71,0.71,0.29,0.32
147,0.74,0.74,0.31,0.37
148,0.75,0.75,0.42,0.43
149,0.75,0.75,0.22,0.26
150,0.75,0.75,0.22,0.35
151,0.75,0.75,0.37,0.3
